Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Data DrivenTest Suite,Chrome 67.0.3396.99,,2018-07-10 18:02:43,2018-07-10 18:02:52,9.930s,PASSED
,,,,,,
Test Cases/Login Test,Chrome 67.0.3396.99,To Check if Login works successfully with different data sets,2018-07-10 18:02:43,2018-07-10 18:02:52,9.446s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 18:02:43,2018-07-10 18:02:49,6.124s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 18:02:50,2018-07-10 18:02:50,0.459s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 18:02:50,2018-07-10 18:02:50,0.292s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 18:02:50,2018-07-10 18:02:51,0.868s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 18:02:51,2018-07-10 18:02:51,0.100s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 18:02:51,2018-07-10 18:02:52,1.151s,PASSED
